Rep,Total_uJ,Function,Percent,Func_uJ
1,246844217.0,,432.5999999998779,1067848082.7416986
1,246844217.0,_int_malloc,4.34,10713039.0178
1,246844217.0,rb_id_table_lookup,1.38,3406450.1946
1,246844217.0,memmove,0.41,1012061.2896999998
2,6349655.0,PHASE_TOTAL,100,6349655.0
3,7777202.0,PHASE_TOTAL,100,7777202.0
4,2333856.0,PHASE_TOTAL,100,2333856.0
5,1208371.0,PHASE_TOTAL,100,1208371.0
6,2605035.0,PHASE_TOTAL,100,2605035.0
7,1148312.0,PHASE_TOTAL,100,1148312.0
8,1582332.0,PHASE_TOTAL,100,1582332.0
9,1036374.0,PHASE_TOTAL,100,1036374.0
10,1338192.0,PHASE_TOTAL,100,1338192.0
11,1159848.0,PHASE_TOTAL,100,1159848.0
12,1344235.0,PHASE_TOTAL,100,1344235.0
13,1292905.0,PHASE_TOTAL,100,1292905.0
14,1583858.0,PHASE_TOTAL,100,1583858.0
15,1700374.0,PHASE_TOTAL,100,1700374.0
16,1155758.0,PHASE_TOTAL,100,1155758.0
17,1488278.0,PHASE_TOTAL,100,1488278.0
18,9334327.0,PHASE_TOTAL,100,9334327.0
19,1274411.0,PHASE_TOTAL,100,1274411.0
20,1236753.0,PHASE_TOTAL,100,1236753.0
21,2015803.0,PHASE_TOTAL,100,2015803.0
22,3410697.0,PHASE_TOTAL,100,3410697.0
23,1064145.0,PHASE_TOTAL,100,1064145.0
24,1105283.0,PHASE_TOTAL,100,1105283.0
25,1074033.0,PHASE_TOTAL,100,1074033.0
26,1441098.0,PHASE_TOTAL,100,1441098.0
27,1119016.0,PHASE_TOTAL,100,1119016.0
28,1781795.0,PHASE_TOTAL,100,1781795.0
29,2815727.0,PHASE_TOTAL,100,2815727.0
30,1179196.0,PHASE_TOTAL,100,1179196.0
