Rep,Total_uJ,Function,Percent,Func_uJ
1,80045511.0,,444.51999999987976,355818305.49710375
1,80045511.0,_int_malloc,4.48,3586038.8928000005
1,80045511.0,rb_id_table_lookup,0.51,408232.10610000003
1,80045511.0,memmove,0.33,264150.1863
2,1239804.0,PHASE_TOTAL,100,1239804.0
3,1063779.0,PHASE_TOTAL,100,1063779.0
4,1057615.0,PHASE_TOTAL,100,1057615.0
5,1587398.0,PHASE_TOTAL,100,1587398.0
6,1864192.0,PHASE_TOTAL,100,1864192.0
7,1808467.0,PHASE_TOTAL,100,1808467.0
8,1537044.0,PHASE_TOTAL,100,1537044.0
9,1555660.0,PHASE_TOTAL,100,1555660.0
10,1652401.0,PHASE_TOTAL,100,1652401.0
11,1637264.0,PHASE_TOTAL,100,1637264.0
12,1593136.0,PHASE_TOTAL,100,1593136.0
13,1115537.0,PHASE_TOTAL,100,1115537.0
14,1391476.0,PHASE_TOTAL,100,1391476.0
15,1098081.0,PHASE_TOTAL,100,1098081.0
16,2126887.0,PHASE_TOTAL,100,2126887.0
17,2308527.0,PHASE_TOTAL,100,2308527.0
18,1214230.0,PHASE_TOTAL,100,1214230.0
19,2588617.0,PHASE_TOTAL,100,2588617.0
20,1082395.0,PHASE_TOTAL,100,1082395.0
21,1338009.0,PHASE_TOTAL,100,1338009.0
22,969236.0,PHASE_TOTAL,100,969236.0
23,4403126.0,PHASE_TOTAL,100,4403126.0
24,1054868.0,PHASE_TOTAL,100,1054868.0
25,1062986.0,PHASE_TOTAL,100,1062986.0
26,1135739.0,PHASE_TOTAL,100,1135739.0
27,1087949.0,PHASE_TOTAL,100,1087949.0
28,1384335.0,PHASE_TOTAL,100,1384335.0
29,1868769.0,PHASE_TOTAL,100,1868769.0
30,1180844.0,PHASE_TOTAL,100,1180844.0
