Rep,Total_uJ,Function,Percent,Func_uJ
1,14853172.0,rb_gc_writebarrier,1.91994497450632,285172.72936877987
1,14853172.0,rb_st_lookup,1.2142597640914943,180356.0912873039
1,14853172.0,rb_hash_aset,0.01542851404878255,2291.623728709836
2,252441.0,PHASE_TOTAL,100,252441.0
3,236511.0,PHASE_TOTAL,100,236511.0
4,225829.0,PHASE_TOTAL,100,225829.0
5,226135.0,PHASE_TOTAL,100,226135.0
6,210326.0,PHASE_TOTAL,100,210326.0
7,222717.0,PHASE_TOTAL,100,222717.0
8,220886.0,PHASE_TOTAL,100,220886.0
9,176757.0,PHASE_TOTAL,100,176757.0
10,171569.0,PHASE_TOTAL,100,171569.0
11,166076.0,PHASE_TOTAL,100,166076.0
12,174927.0,PHASE_TOTAL,100,174927.0
13,193175.0,PHASE_TOTAL,100,193175.0
14,184631.0,PHASE_TOTAL,100,184631.0
15,196167.0,PHASE_TOTAL,100,196167.0
16,188415.0,PHASE_TOTAL,100,188415.0
17,174499.0,PHASE_TOTAL,100,174499.0
18,158264.0,PHASE_TOTAL,100,158264.0
19,151916.0,PHASE_TOTAL,100,151916.0
20,146240.0,PHASE_TOTAL,100,146240.0
21,160400.0,PHASE_TOTAL,100,160400.0
22,148925.0,PHASE_TOTAL,100,148925.0
23,146728.0,PHASE_TOTAL,100,146728.0
24,156311.0,PHASE_TOTAL,100,156311.0
25,162719.0,PHASE_TOTAL,100,162719.0
26,172607.0,PHASE_TOTAL,100,172607.0
27,190246.0,PHASE_TOTAL,100,190246.0
28,206604.0,PHASE_TOTAL,100,206604.0
29,169067.0,PHASE_TOTAL,100,169067.0
30,172607.0,PHASE_TOTAL,100,172607.0
