Rep,Total_uJ,Function,Percent,Func_uJ
1,15151634.0,rb_gc_writebarrier,1.9204553964150022,290980.3727980503
1,15151634.0,rb_st_lookup,1.214582577919314,184029.10683409928
1,15151634.0,rb_hash_aset,0.015432615755703047,2338.29345593046
2,232482.0,PHASE_TOTAL,100,232482.0
3,510070.0,PHASE_TOTAL,100,510070.0
4,225097.0,PHASE_TOTAL,100,225097.0
5,292907.0,PHASE_TOTAL,100,292907.0
6,189758.0,PHASE_TOTAL,100,189758.0
7,194518.0,PHASE_TOTAL,100,194518.0
8,200622.0,PHASE_TOTAL,100,200622.0
9,195068.0,PHASE_TOTAL,100,195068.0
10,167175.0,PHASE_TOTAL,100,167175.0
11,160339.0,PHASE_TOTAL,100,160339.0
12,175720.0,PHASE_TOTAL,100,175720.0
13,183899.0,PHASE_TOTAL,100,183899.0
14,154357.0,PHASE_TOTAL,100,154357.0
15,171020.0,PHASE_TOTAL,100,171020.0
16,176330.0,PHASE_TOTAL,100,176330.0
17,220153.0,PHASE_TOTAL,100,220153.0
18,161560.0,PHASE_TOTAL,100,161560.0
19,165893.0,PHASE_TOTAL,100,165893.0
20,182433.0,PHASE_TOTAL,100,182433.0
21,179565.0,PHASE_TOTAL,100,179565.0
22,175659.0,PHASE_TOTAL,100,175659.0
23,173278.0,PHASE_TOTAL,100,173278.0
24,168762.0,PHASE_TOTAL,100,168762.0
25,174987.0,PHASE_TOTAL,100,174987.0
26,167480.0,PHASE_TOTAL,100,167480.0
27,179931.0,PHASE_TOTAL,100,179931.0
28,166381.0,PHASE_TOTAL,100,166381.0
29,183166.0,PHASE_TOTAL,100,183166.0
30,162720.0,PHASE_TOTAL,100,162720.0
